"date","name","value"
2020-10-01,"WI",230600
2020-10-01,"AL",226200
2020-10-01,"VT",293100
2020-10-01,"WV",217800
2020-10-01,"AR",195000
2020-10-01,"DE",262300
2020-10-01,"NM",460100
2020-10-01,"NE",232100
2020-10-01,"TN",298800
2020-10-01,"HI",586400
2020-10-01,"MI",208900
2020-10-01,"AZ",334600
2020-10-01,"MD",351400
2020-10-01,"DC",676000
2020-10-01,"TX",284600
2020-10-01,"NJ",386500
2020-10-01,"OK",203900
2020-10-01,"IN",219500
2020-10-01,"ME",280300
2020-10-01,"LA",247900
2020-10-01,"FL",296400
2020-10-01,"CT",326500
2020-10-01,"SC",274900
2020-10-01,"IA",224900
2020-10-01,"NH",325700
2020-10-01,"ID",360900
2020-10-01,"KY",215400
2020-10-01,"MA",506200
2020-10-01,"CA",669600
2020-10-01,"MN",291700
2020-10-01,"NY",420000
2020-10-01,"GA",288900
2020-10-01,"VA",395300
2020-10-01,"WA",501900
2020-10-01,"CO",476200
2020-10-01,"KS",296200
2020-10-01,"AK",312300
2020-10-01,"IL",257200
2020-10-01,"UT",434400
2020-10-01,"NC",284100
2020-09-01,"NE",228300
2020-09-01,"CA",663300
2020-09-01,"UT",422500
2020-09-01,"KY",216800
2020-09-01,"PA",247600
2020-09-01,"VT",291400
2020-09-01,"VA",391500
2020-09-01,"WI",230600
2020-09-01,"DE",267700
2020-09-01,"DC",645000
2020-09-01,"AK",302100
2020-09-01,"WA",503200
2020-09-01,"ME",273900
2020-09-01,"MS",207900
2020-09-01,"NJ",384100
2020-09-01,"MA",518100
2020-09-01,"GA",284200
2020-09-01,"FL",293500
2020-09-01,"IA",218100
2020-09-01,"CT",332800
2020-09-01,"IN",219700
2020-09-01,"OK",200600
2020-09-01,"MO",217300
2020-09-01,"NY",404900
2020-09-01,"NM",460100
2020-09-01,"OH",195500
2020-09-01,"NV",341800
2020-09-01,"WV",234200
2020-09-01,"HI",608000
2020-09-01,"NC",282800
2020-09-01,"AL",231500
2020-09-01,"RI",346400
2020-09-01,"MD",351000
2020-09-01,"KS",300000
2020-09-01,"CO",461600
2020-09-01,"TX",280900
2020-09-01,"AZ",328000
2020-09-01,"MI",213100
2020-09-01,"NH",326300
2020-09-01,"IL",258900
2020-09-01,"LA",236900
2020-09-01,"SC",272400
2020-09-01,"OR",411600
2020-09-01,"AR",196800
2020-09-01,"ID",363500
2020-09-01,"TN",290500
2020-09-01,"MN",287700
2020-08-01,"NV",334500
2020-08-01,"NY",395700
2020-08-01,"KY",220300
2020-08-01,"ID",354600
2020-08-01,"WV",232800
2020-08-01,"NE",232700
2020-08-01,"AR",196600
2020-08-01,"TX",280900
2020-08-01,"OR",404700
2020-08-01,"UT",393600
2020-08-01,"CT",341800
2020-08-01,"TN",291300
2020-08-01,"WI",235400
2020-08-01,"VT",287600
2020-08-01,"RI",338000
2020-08-01,"DE",261700
2020-08-01,"MI",210100
2020-08-01,"SC",273200
2020-08-01,"NC",287200
2020-08-01,"VA",395200
2020-08-01,"ME",266300
2020-08-01,"KS",298700
2020-08-01,"AZ",325200
2020-08-01,"NH",326600
2020-08-01,"AL",225000
2020-08-01,"CO",457500
2020-08-01,"LA",238900
2020-08-01,"NJ",385900
2020-08-01,"CA",653900
2020-08-01,"IL",263300
2020-08-01,"MD",346300
2020-08-01,"MN",291500
2020-08-01,"DC",650000
2020-08-01,"OK",204300
2020-08-01,"AK",307600
2020-08-01,"GA",282100
2020-08-01,"PA",252700
2020-08-01,"WA",497300
2020-08-01,"IA",229300
2020-08-01,"OH",195000
2020-08-01,"IN",221900
2020-08-01,"MS",207400
2020-08-01,"HI",610200
2020-08-01,"NM",481100
2020-08-01,"MO",218900
2020-08-01,"MA",519200
2020-08-01,"FL",294700
2020-07-01,"GA",277800
2020-07-01,"KY",218400
2020-07-01,"MS",207000
2020-07-01,"NY",399100
2020-07-01,"OH",195500
2020-07-01,"NE",235900
2020-07-01,"ME",255200
2020-07-01,"WA",484600
2020-07-01,"VT",264000
2020-07-01,"CT",325300
2020-07-01,"WV",217800
2020-07-01,"WI",230900
2020-07-01,"DC",642000
2020-07-01,"CO",455300
2020-07-01,"KS",299300
2020-07-01,"MA",505900
2020-07-01,"NJ",360200
2020-07-01,"TX",282500
2020-07-01,"AL",229200
2020-07-01,"RI",327300
2020-07-01,"VA",400500
2020-07-01,"MD",349700
2020-07-01,"IL",261400
2020-07-01,"MO",215600
2020-07-01,"SC",268700
2020-07-01,"FL",289500
2020-07-01,"AK",319100
2020-07-01,"IN",224100
2020-07-01,"OK",196500
2020-07-01,"CA",637900
2020-07-01,"MN",285800
2020-07-01,"UT",384400
2020-07-01,"PA",245900
2020-07-01,"OR",400800
2020-07-01,"HI",571600
2020-07-01,"AR",197900
2020-07-01,"NV",332700
2020-07-01,"LA",243800
2020-07-01,"AZ",314500
2020-07-01,"IA",220300
2020-07-01,"NM",432000
2020-07-01,"NC",280700
2020-07-01,"NH",316200
2020-07-01,"MI",211100
2020-07-01,"ID",348000
2020-07-01,"DE",257100
2020-07-01,"TN",285600
2020-06-01,"OH",191400
2020-06-01,"IN",212200
2020-06-01,"SC",259100
2020-06-01,"ID",325200
2020-06-01,"MA",485600
2020-06-01,"LA",232600
2020-06-01,"CO",439900
2020-06-01,"NM",402700
2020-06-01,"RI",314300
2020-06-01,"KY",210900
2020-06-01,"TN",278300
2020-06-01,"GA",267900
2020-06-01,"WI",227000
2020-06-01,"NJ",344100
2020-06-01,"NC",274200
2020-06-01,"WA",477200
2020-06-01,"AK",301900
2020-06-01,"CT",303700
2020-06-01,"OK",194300
2020-06-01,"MO",210900
2020-06-01,"NV",325500
2020-06-01,"OR",386600
2020-06-01,"AL",226300
2020-06-01,"IL",248900
2020-06-01,"KS",288300
2020-06-01,"HI",581500
2020-06-01,"VT",258100
2020-06-01,"MD",337900
2020-06-01,"FL",277200
2020-06-01,"MI",203200
2020-06-01,"WV",213300
2020-06-01,"NH",309000
2020-06-01,"AZ",308300
2020-06-01,"NY",410800
2020-06-01,"IA",219400
2020-06-01,"TX",274300
2020-06-01,"UT",362900
2020-06-01,"CA",612700
2020-06-01,"DE",261200
2020-06-01,"ME",249500
2020-06-01,"PA",241800
2020-06-01,"MS",203200
2020-06-01,"VA",376700
2020-06-01,"MN",280200
2020-06-01,"DC",620000
2020-06-01,"NE",224000
2020-06-01,"AR",193500
2020-05-01,"FL",269400
2020-05-01,"AZ",294500
2020-05-01,"LA",225000
2020-05-01,"NY",401800
2020-05-01,"NH",308600
2020-05-01,"SC",251300
2020-05-01,"CA",585900
2020-05-01,"WV",216900
2020-05-01,"RI",300800
2020-05-01,"UT",343600
2020-05-01,"CT",289900
2020-05-01,"TX",261600
2020-05-01,"WI",219200
2020-05-01,"WA",454400
2020-05-01,"NE",222500
2020-05-01,"VA",371700
2020-05-01,"IA",217600
2020-05-01,"IL",243900
2020-05-01,"MN",271400
2020-05-01,"OK",186300
2020-05-01,"NC",266200
2020-05-01,"AR",186600
2020-05-01,"DC",652000
2020-05-01,"MD",329200
2020-05-01,"PA",239900
2020-05-01,"AL",223500
2020-05-01,"NJ",337800
2020-05-01,"NV",316300
2020-05-01,"MS",196800
2020-05-01,"KY",203400
2020-05-01,"ME",233300
2020-05-01,"ID",318200
2020-05-01,"MO",202200
2020-05-01,"VT",242400
2020-05-01,"MA",472600
2020-05-01,"DE",248700
2020-05-01,"NM",361300
2020-05-01,"HI",589300
2020-05-01,"IN",210900
2020-05-01,"AK",298000
2020-05-01,"MI",191500
2020-05-01,"OH",184700
2020-05-01,"GA",258200
2020-05-01,"KS",268800
2020-05-01,"OR",375100
2020-05-01,"CO",433500
2020-05-01,"TN",270200
2020-04-01,"SC",253900
2020-04-01,"LA",226500
2020-04-01,"WA",461400
2020-04-01,"NM",369100
2020-04-01,"UT",352800
2020-04-01,"NH",303400
2020-04-01,"CA",593400
2020-04-01,"AR",191600
2020-04-01,"AL",218100
2020-04-01,"WV",211300
2020-04-01,"NE",218600
2020-04-01,"NC",272700
2020-04-01,"WI",218100
2020-04-01,"RI",300900
2020-04-01,"OK",181800
2020-04-01,"VA",381500
2020-04-01,"DE",241100
2020-04-01,"NV",311900
2020-04-01,"PA",239100
2020-04-01,"HI",595800
2020-04-01,"ID",313500
2020-04-01,"CT",278400
2020-04-01,"IN",207900
2020-04-01,"GA",265600
2020-04-01,"KY",199400
2020-04-01,"AZ",303100
2020-04-01,"AK",306700
2020-04-01,"IL",254900
2020-04-01,"MO",197900
2020-04-01,"MN",280400
2020-04-01,"CO",436200
2020-04-01,"KS",278900
2020-04-01,"MA",484700
2020-04-01,"IA",208600
2020-04-01,"NY",396600
2020-04-01,"MS",194700
2020-04-01,"OH",178000
2020-04-01,"MI",196100
2020-04-01,"DC",619900
2020-04-01,"VT",269200
2020-04-01,"FL",272100
2020-04-01,"ME",240000
2020-04-01,"NJ",346900
2020-04-01,"MD",336500
2020-04-01,"TX",263500
2020-04-01,"OR",376800
2020-04-01,"TN",267900
2020-03-01,"VA",372600
2020-03-01,"AZ",300900
2020-03-01,"MA",469800
2020-03-01,"HI",604900
2020-03-01,"TN",267300
2020-03-01,"AK",294600
2020-03-01,"NM",411700
2020-03-01,"PA",224200
2020-03-01,"IA",206200
2020-03-01,"NH",298600
2020-03-01,"CA",600400
